title,summary
Peter Norvig: Artificial Intelligence: A Modern Approach | Lex Fridman Podcast #42,"Peter Norvig is the director of research at Google and the coauthor with Stuart Russell of the book Artificial Intelligence and Modern Approach. An educated and inspired a whole generation of researchers, including myself, to get into the field of artificial intelligence. This artificial intelligence podcast. If you enjoy it, subscribe to YouTube, give five stars on iTunes, support on Patreon, or simply connect with me on Twitter at Lex Friedman, spelled F R I D M A N. And now here's my conversation with Peter Norvig. Most researchers in the AI community, including myself, own all three editions, red, green and blue, of the Artificial Intelligence and Modern Approach. It's a field defining textbook, as many people are aware, that you wrote with Stuart Russell. How has the book changed and how have you changed in relation to it from the first edition to the second to the third and now fourth edition as you work on it?"
"Demis Hassabis: DeepMind - AI, Superintelligence & the Future of Humanity | Lex Fridman Podcast #299","Demis Hasabis is the CEO and co-founder of DeepMind, a company that has published and built some of the most incredible artificial intelligence systems in the history of computing, including AlphaZero that learned all by itself to play the game of Go better than any human in the world, and AlphaFold2 that solved protein folding. Both tasks considered nearly impossible for a very long time. Demis is widely considered to be one of the most brilliant and impactful humans in the history of artificial intelligence and science and engineering in general. This was truly an honor and a pleasure for me to finally sit down with him for this conversation, and I'm sure we will talk many times again in the future."
Jeremi Suri: History of American Power | Lex Fridman Podcast #180,"A conversation with Jeremy Suri, a historian at UT Austin, whose research interests and writing are on modern American history with an eye towards presidents and in general individuals who wielded power. Quick mention of our sponsors, Element, Monk Pack, Belcampo, Four Sigmatic, and 8 Sleep. Check them out in the description to support this podcast. As a side note, let me say that in these conversations, for better or worse, I seek understanding, not activism. I'm not left nor right. I love ideas, not labels. And most fascinating ideas are full of uncertainty, tension, and trade-offs. Labels destroy that. I try ideas out, let them breathe for a time, try to challenge, explore, and analyze. But mostly, I trust the intelligence of you, the listener, to think and to make up your own mind, together with me. I will try to have economists and philosophers on from all points on the multi-dimensional political spectrum, including the extremes. I will try to both have an open mind and to ask"
"Ian Hutchinson: Nuclear Fusion, Plasma Physics, and Religion | Lex Fridman Podcast #112","Ian Hutchinson, a nuclear engineer and plasma physicist at MIT, has made a number of important contributions in plasma physics, including the magnetic confinement of plasmas, seeking to enable fusion reactions, which happens to be the energy source of the stars, to be used for practical energy production. Current nuclear reactors, by the way, are based on fission, as we discuss. Ian has also written on the philosophy of science and the relationship between science and religion, arguing in particular against scientism, which is a negative description of the overreach of the scientific method to questions not amenable to it. On this latter topic, I recommend two of his books, his new one, Can a Scientist Believe in Miracles, where he answers more than 200 questions on all aspects of God and science, and in g"
"Travis Oliphant: NumPy, SciPy, Anaconda, Python & Scientific Programming | Lex Fridman Podcast #224","This is a conversation with Travis Olyphant, one of the most impactful programmers and data scientists ever. He created NumPy, SciPy, and Anaconda. NumPy formed the foundation of tensor-based machine learning in Python. SciPy formed the foundation of scientific programming in Python, and Anaconda, specifically with Conda, made Python more accessible to a much larger audience. Travis's life work across a large number of programming and entrepreneurial efforts has and will continue to have immeasurable impact on millions of lives by empowering scientists and engineers in big companies, small companies, and open source communities to take on difficult problems and solve them with the power of programming. Plus, he's a truly kind human being, which is something that when combined with vision and ambition makes for a great leader and a great person to chat with."
Roger Penrose: Physics of Consciousness and the Infinite Universe | Lex Fridman Podcast #85,"This podcast is a conversation with Roger Panrose, physicist, mathematician, and philosopher at University of Oxford. He has made fundamental contributions in many disciplines from the mathematical physics of general relativity and cosmology to the limitations of a computational view of consciousness. In his book, The Emperor's New Mind, Roger writes that, quote, ""'Children are not afraid to pose basic questions ""'that may embarrass us as adults to ask.'""'This conversation was recorded before ""'the outbreak of the pandemic. ""'For everyone feeling the medical, psychological, and financial burden of the crisis, ""'I'm sending love your way. ""'Stay strong. ""'We're in this together. ""'We'll beat this thing.'"" This podcast is a conversation with Roger Panrose, physicist, mathematician, and philosopher at University of Oxford. He has made fundamental contributions in many disciplines from the mathematical physics of general relativity and cosmology to the limitations of a computational view of consciousness. In his book, The Emperor's New Mind, Roger writes that,"
Rodney Brooks: Robotics | Lex Fridman Podcast #217,"Rodney Brooks is one of the greatest roboticists in history. He led the Computer Science and Artificial Intelligence Laboratory at MIT, then co-founded iRobot, which is one of the most successful robotics companies ever. Then he co-founded Rethink Robotics that created some amazing collaborative robots like Baxter and Sawyer. Finally, he co-founded Robust.ai, whose mission is to teach robots common sense, which is a lot harder than it sounds. To support this podcast, please check out our sponsors in the description. As a side note, let me say that Rodney is someone I've looked up to for many years in my now over two-decade journey in robotics, because, one, he's a legit great engineer of real-world systems, and two, he's not afraid to state controversial opinions that challenge the way we see the AI world. But, of course, while I agree with him on some of his critical views of AI, I don't agree with some others, and he's fully supportive of such disagreement."
"Jocko Willink: War, Leadership, and Discipline | Lex Fridman Podcast #197","This is a conversation with Jaco Willink, a retired U.S. Navy SEAL, co-author of Extreme Ownership, Dichotomy of Leadership, Discipline Equals Freedom, and many other excellent books. And he's the host of Jaco Podcast. Jaco spent 20 years in the SEAL Teams. He was the commander of SEAL Team 3's Task Unit Bruiser that became the most highly decorated special operations unit of the Iraq War. This conversation was intense and to the point. We agreed to talk again, probably many times. And what I find very interesting, aside from the talk of leadership, is the conversation about military tactics of specific battles in history. Quick mention of our sponsors, Linode, Indeed, Simply Safe, and Ground News. Check them out in the description to support this podcast. Since it's the 4th of July, a holiday in the United States, let me say a few words about what this country, my country, the United States of America means to me. First, by way of background, I was born and raised in the Soviet Union, just long eno"
"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics | Lex Fridman Podcast #45","This is the Artificial Intelligence Podcast. If you enjoy it, subscribe on YouTube, give it five stars on iTunes, support it on Patreon,                                                                                                                "
Scott Aaronson: Quantum Computing | Lex Fridman Podcast #72,"A conversation with Scott Aronson, a professor at UT Austin, director of its Quantum Information Center, and previously a professor at MIT. His research interests center around the capabilities and limits of quantum computers and computational complexity theory more generally. He is an excellent writer and one of my favorite communicators of computer science in the world. We only had about an hour and a half for this conversation, so I decided to focus on quantum computing, but I can see us talking again on this podcast at some point about computational complexity theory and all the complexity classes that Scott catalogs in his amazing Complexity Zoo Wiki. My goal with these conversations is to try to be in the background without ego and do three things. One, let the guests shine and try to discover together the most beautiful insights in their work and in their mind. Two, try to play devil's advocate, just enough."
Albert Bourla: Pfizer CEO | Lex Fridman Podcast #249,"Albert Burla, CEO of Pfizer, talks about truth, human nature, and the burden of being human, of being free. The timestamps as always are below. If you'd like to skip ahead to our conversation, the timestamps as always are below. But if not, please allow me to say a few words about truth and human nature. Specifically, about two groups of people throughout history that seek to lay claim to the truth. The first group will tell you that only they possess the truth, and that the government will save you, the company will save you, the science, the authorities, the experts, the institutions will save you. The second group, too, will tell you that only they possess the truth, and that the government will hurt you, the company will hurt you, the science, the authorities, the experts, the institutions will hurt you. Both groups have the benevolent and the malevolent, their heroes and their charlatans. And I think the hard truth is that no one in this world can tell you with absolute certainty which is which. You have to use your mind. This is the burden of being human, of being free."
Yeonmi Park: North Korea | Lex Fridman Podcast #196,"From 1994 to 1998, North Korea went through a famine, mass starvation, caused primarily by King Jong-il, who at the time was the new leader of North Korea after his father's death in 1994. Somewhere between 600,000 and 3 million people died due to starvation. From all the stories of famine in history, including my own family history, I've come to understand that hunger tortures the human mind in a way that can break everything we stand for. In North Korea, during the 90s famine, many were driven to cannibalism. Imagine more than 10 million people suffering starvation for months and years, always on the brink of death."
Kevin Scott: Microsoft CTO | Lex Fridman Podcast #30,"This is the Artificial Intelligence Podcast. I'm Lex Friedman, and I'm talking to Kevin Scott, the CTO of Microsoft, about the impact of Microsoft's investment in OpenAI, and what it means for the future of artificial intelligence. Thank you for joining me today."
"Michael Kearns: Algorithmic Fairness, Privacy & Ethics | Lex Fridman Podcast #50","Michael Kearns, thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today Show. Thank you for joining us today on NPR's Today"
Pamela McCorduck: Machines Who Think and the Early Days of AI | Lex Fridman Podcast #34,"Pamela McCordick, an author who has written on the history and the philosophical significance of artificial intelligence. She's an author who has written on the history and the philosophical significance of artificial intelligence. Her books include Machines Who Think in 1979, The Fifth Generation in 1983 with Ed Fagenbaum, who's considered to be the father of expert systems, The Edge of Chaos that features women, and many more books. I came across her work in an unusual way by stumbling in a quote from Machines Who Think that is something like, artificial intelligence began with the ancient wish to forge the gods. That was a beautiful way to draw a connecting line between our societal relationship with AI from the grounded day-to-day science, math, and engineering to popular stories and science fiction and myths of automatons that go back for centuries. Through her literary work, she has spent a lot of time with the seminal figures of artificial intelligence, including the founding fathers of AI from the 1956 Dartmouth summer workshop where the field was launched."
"Bobby Lee: Comedy, Skyrim, Sex Robots, Love, Fame, and Power | Lex Fridman Podcast #287","This is a conversation with Bobby Lee, a standup comedian and podcaster and one of the funniest humans on the planet. And just someone who brings joy to my heart with a mix of non-sequitur absurdity, darkness, and the singing voice of an angel. In all seriousness, Bobby is just a beautiful human being. I've been a fan of his for 20 years since his time on Matt TV to today with this podcast, Tiger Belly, that he does with his other half, the love of his life, Kalala, and the podcast, Bad Friends, that he does with Andrew Santino. This is the Lex Friedman podcast. To support it, please check out our sponsors in the description. And now, dear friends, here's Bobby Lee. I've been a fan of yours for many, many years. I think you're one of the funniest people in the world. I've been a fan since Matt TV days 20 years ago t"
"Lee Cronin: Origin of Life, Aliens, Complexity, and Consciousness | Lex Fridman Podcast #269","This week's guest is a chemist from University of Glasgow, who's one of the most fascinating, brilliant, out of the box thinking scientists I've ever spoken to. He's basically a human manifestation of the mad scientist Rick Sanchez from Rick and Morty."
Daniel Schmachtenberger: Steering Civilization Away from Self-Destruction | Lex Fridman Podcast #191,"Daniel Schmachtenberger is a founding member of the Consilience Project that is aimed at improving public sense-making and dialogue. He's interested in understanding how we humans can be the best version of ourselves as individuals and as collectives at all scales. Quick mention of our sponsors, Ground News, NetSuite, Four Sigmatic, Magic Spoon, and BetterHelp. Check them out in the description to support this podcast. A side note, let me say that I got a chance to talk to Daniel on and off the mic for a couple of days. We took a long walk the day before our conversation. I really enjoyed meeting him, just on a basic human level. We talked about the world around us with words that carried hope for us individual ants actually contributing something of value to the colony. These conversations are the reasons I love human beings. Our insatiable striving to lessen the suffering in the world. But more than that, there's a simple magic to two strangers meeting for the first ti"
Manolis Kellis: Human Genome and Evolutionary Dynamics | Lex Fridman Podcast #113,"A conversation with Manolis Kellis. He's a professor at MIT and head of the MIT Computational Biology Group. He's interested in understanding the human genome from a computational, evolutionary, biological, and other cross-disciplinary perspectives. He has more big, impactful papers and awards than I can list. But most importantly, he's a kind, curious, brilliant human being and just someone I really enjoy talking to. His passion for science and life in general is contagious. The hours honestly flew by and I'm sure we'll talk again on this podcast soon. Quick summary of the ads. Three sponsors, Blinkist, 8 Sleep, and Masterclass. Please consider supporting this podcast by going to blinkist.com slash lex. Please consider supporting this podcast by going to 8 sleep dot com slash lex. Click the links, buy the stuff, get the discount. It's the best way to support this podcast. If you enjoy this thing, subscribe on YouTube, review it with five stars on Apple Podcasts, support it on Patreon, or conne."
"Ray Kurzweil: Singularity, Superintelligence, and Immortality | Lex Fridman Podcast #321","Ray Kurzweil, author, inventor, and futurist, who has an optimistic view of our future as a human civilization, predicting that exponentially improving technologies will take us to a point of a singularity, beyond which super intelligent artificial intelligence will transform our world in nearly unimaginable ways. 18 years ago, in the book Singularity is Near, he predicted that the onset of the singularity will happen in the year 2045."
Dmitri Dolgov: Waymo and the Future of Self-Driving Cars | Lex Fridman Podcast #147,"Dmitry Dolgov is the CTO of Waymo, an autonomous driving company that started as Google self-driving car project in 2009 and became Waymo in 2016. Waymo is currently leading in the fully autonomous vehicle space and that they actually have an at-scale deployment of publicly accessible autonomous vehicles, driving passengers around with no safety driver, with nobody in the driver's seat. This, to me, is an incredible accomplishment of engineering on one of the most difficult and exciting artificial intelligence challenges of the 21st century. Quick mention of a sponsor, followed by some thoughts related to the episode. Thank you to Trial Labs, a company that helps businesses apply machine learning to solve real world problems. Blinkist, an app I use for reading through summaries of books, BetterHelp, online therapy with a licensed professional, and CashApp, the app I use to send money to friends. Please check out the sponsors in the descr."
"Michael Mina: Rapid Testing, Viruses, and the Engineering Mindset | Lex Fridman Podcast #146","Michael Mina: I'm a professor at Harvard doing research on infectious disease and immunology. The most defining characteristic of his approach to science and biology is that of a first principles thinker and engineer focused not just on defining the problem, but finding the solution. In that spirit, we talk about cheap rapid at home testing, which is a solution to COVID-19 that to me has become one of the most obvious, powerful and doable solutions that frankly should have been done months ago and still should be done now. As we talk about its accuracy, it's high for detecting actual contagiousness and hundreds of millions can be manufactured quickly and relatively cheaply. In general, I love engineering solutions like these even if government bureaucracies often don't. It respects science and data, it respects our freedom, it respects our intelligence, it respects our intelligence and basic common sense. Quick mention of each sponsor followed by some thoughts related to the episode."
"Nick Lane: Origin of Life, Evolution, Aliens, Biology, and Consciousness | Lex Fridman Podcast #318",Nick Lane on Patreon: https://www.patreon.com/LuxFreedmanPod https://www.facebook.com/LuxFreedmanPod https://twitter.com/LuxFreedmanPod https://www.instagram.com/LuxFreedmanPod https://twitter.com/LuxFreedmanPod
Robert Proctor: Nazi Science and Ideology | Lex Fridman Podcast #268,"science is a philosophy of science, a philosophy of life, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of the universe, a philosophy of"
Sean Carroll: Quantum Mechanics and the Many-Worlds Interpretation | Lex Fridman Podcast #47,"This is a conversation with Sean Carroll, part two, the second time we've spoken on the podcast. You can get the link to the first time in the description. This time we focus on quantum mechanics and the many worlds interpretation that he details elegantly in his new book titled Something Deeply Hidden. I own and enjoy both the ebook and audiobook versions of it. Listening to Sean read about entanglement, complementarity and the emergence of space time reminds me of Bob Ross teaching the world how to paint on his old television show. If you don't know who Bob Ross is, you're truly missing out. Look him up. He'll make you fall in love with painting. Sean Carroll is the Bob Ross of theoretical physics. He's the author of several popular books, a host of a great podcast called Mindscape and is a theoretical physicist at Caltech and the Santa Fe Institute specializing in quantum mechanics, arrow of time, cosmology and gravitation. This is the Artificial Intelligence podcast. If you enjoy it, subscribe o"
Vijay Kumar: Flying Robots | Lex Fridman Podcast #37,"Vijay Kumar is one of the top roboticists in the world, a professor at the University of Pennsylvania, a Dean of Penn Engineering, former director of GraspLab, or the General Robotics Automation Sensing and Perception Laboratory at Penn, that was established back in 1979, that's 40 years ago. Vijay is perhaps best known for his work in multi-robot systems, robot swarms, and micro aerial vehicles, robots that elegantly cooperate in flight under all the uncertainty and challenges that the real world conditions present. This is the Artificial Intelligence Podcast. If you enjoy it, subscribe on YouTube, give it five stars on iTunes, support it on Patreon, or simply connect with me on Twitter at Lex Friedman spelled F-R-I-D-M-A-N."
"Frank Wilczek: Physics of Quarks, Dark Matter, Complexity, Life & Aliens | Lex Fridman Podcast #187","Frank Wilczek, a theoretical physicist at MIT, who won the Nobel Prize for the co-discovery of asymptotic freedom in the theory of strong interaction. Quick mention of our sponsors, the Information, NetSuite, ExpressVPN, Blinkist, and Aidsleep. Check them out in the description to support this podcast. As a side note, let me say a word about asymptotic freedom. Protons and neutrons make up the nucleus of an atom, strong interaction is responsible for the strong nuclear force that binds them, but strong interaction also holds together the quarks that make up the protons and neutrons. Frank Wilczek, David Gross, and David Pulitzer came up with a theory postulating that when quarks come really close to one another, the attraction abates and they behave like free particles. This is called asymptotic freedom. This happens at very, very high energies, which is also where all the fun is."
Sergey Levine: Robotics and Machine Learning | Lex Fridman Podcast #108,"A conversation with Sergey Levine, a professor at Berkeley, and a world-class researcher in deep learning, reinforcement learning, robotics and computer vision, including the development of algorithms for end-to-end training of neural network policies that combine perception and control, scalable algorithms for inverse reinforcement learning, and in general, deep RL algorithms. Quick summary of the ads. Two sponsors, Cash App and ExpressVPN. Please consider supporting the podcast by downloading Cash App and using code LexPodcast and signing up at ExpressVPN.com slash LexPod. Click the links, buy the stuff. It's the best way to support this podcast and in general, the journey I'm on. If you enjoy this thing, subscribe on YouTube, review it with Five Stars and Apple Podcasts, follow on Spotify, support it on Patreon, or connect with me on Twitter at Lex Friedman. As usual, I'll do a few minutes of ads now and never any ads in the middle that can break the flow of the conversation."
"Yann LeCun: Deep Learning, ConvNets, and Self-Supervised Learning | Lex Fridman Podcast #36","Jan LeCun is one of the fathers of deep learning, which, if you've been hiding under a rock, is the recent revolution in AI that has captivated the world with the possibility of what machines can learn from data. He's a professor at New York University, a vice president and chief AI scientist at Facebook, and co-recipient of the Turing Award for his work on deep learning. He's probably best known as the founding father of convolutional neural networks, in particular, their application to optical character recognition and the famed MNIST dataset. He is also an outspoken personality, unafraid to speak his mind in a distinctive French accent and explore provocative ideas, both in the rigorous medium of academic research and the somewhat less rigorous medium of Twitter and Facebook."
David Sinclair: Extending the Human Lifespan Beyond 100 Years | Lex Fridman Podcast #189,"David Sinclair is a professor in the Department of Genetics at Harvard and co-director of the Paul F. Glenn Center for the Biology of Aging at Harvard Medical School. He's the author of the book, Lifespan and co-founder of several biotech companies. He works on turning age into an engineering problem and solving it, driven by a vision of a world where billions of people can live much longer and much healthier lives. Quick mention of our sponsors, Onnit, Clear, National Instruments, and I, Simply Safe and Linode. Check them out in the description to support this podcast. As a side note, let me say that longevity research challenges us to think how science and engineering will change society. Imagine if you can live 100,000 years, even under controlled conditions, like in a spaceship, say, then suddenly a trip to Alpha Centauri that is 4.37 light years away takes a single human lifespan. And on the psychological, maybe even philosophical level, as the horizons of death d"
"Andrew Huberman: Sleep, Dreams, Creativity, Fasting, and Neuroplasticity | Lex Fridman Podcast #164","Andrew Huberman is a neuroscientist at Stanford, a world-class researcher and educator, and now he has a new podcast on YouTube and all the usual places called Huberman Lab that I can't recommend highly enough. Quick mention of our sponsors. Masterclass Online Courses, Four Sigmatic Mushroom Coffee, Magic Spoon Low Carb Cereal, and Better Help Online Therapy. Click the sponsor links to get a discount. Quick mention of our sponsors. Masterclass Online Courses, Four Sigmatic Mushroom Coffee, Magic Spoon Low Carb Cereal, and Better Help Online Therapy. Click the sponsor links to get a discount. Quick mention of our sponsors. Masterclass Online Courses, Four Sigmatic Mushroom Coffee, Magic Spoon Low Carb Cereal, and Better Help Online Therapy. Click the sponsor links to get a discount. Quick mention of our sponsors. Masterclass Online Courses, Four Sigmatic Mushroom Coffee, Magic Spoon Low Carb Cereal, and Better Help Online Therapy. Click the sponsor links to get a discount. Quick mention of our sponsors. Masterclass Online Courses, Four Sigmatic Mushroom Coffee, Magic Spoon Low"
Jimmy Pedro: Judo and the Forging of Champions | Lex Fridman Podcast #236,"The most beautiful throw in judo to me is Uchi Mata. It's the one that seems to have the most amplitude. Person goes the highest. You see a leg swing through the middle, the person doing the throw, there's a leg swinging through the middle, the other person definitely goes, you know, head over heels, flat on their back. It's probably the most dynamic, pretty judo throw there is."
Richard Wolff: Marxism and Communism | Lex Fridman Podcast #295,"This podcast is a conversation with Richard Wolff, one of the top Marxist economists and philosophers in the world. This is a heavy topic in general and for me personally given my family history in the Soviet Union, in Russia, and in Ukraine. Today the words Marxism, Socialism, and Communism are used to attack and to divide much more than to understand and to learn. With this podcast I seek the latter. I believe we need to study the ideas of Karl Marx as well as their various implementations throughout the 20th and the 21st centuries. And in general we need to b"
Rohit Prasad: Amazon Alexa and Conversational AI | Lex Fridman Podcast #57,"A conversation with Rohit Prasad, the vice president and head scientist of Amazon Alexa and one of its original creators. The Alexa team embodies some of the most challenging, incredible, impactful and inspiring work that is done in AI today. The team has to both solve problems at the cutting edge of natural language processing and provide a trustworthy, secure and enjoyable experience to millions of people."
Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101,"This week's guest is Josje Bach, VP of research at the AI Foundation. Josje is one of the most unique and brilliant people in the artificial intelligence community, exploring the workings of human mind, intelligence, consciousness, life on Earth, and the possibly simulated fabric of our universe. I could see myself talking to Josje many times in the future. Quick summary of the ads. Two sponsors, ExpressVPN and CashApp. Please consider supporting the podcast by signing up at expressvpn.com slash LexPod and downloading CashApp and using code LexPodcast. This is the artificial intelligence podcast. If you enjoy it, subscribe on YouTube, review it with five stars on Apple Podcast, support it on Patreon, or simply connect with me on Twitter at Lex Friedman. Since this comes up more often than I ever would have imagined, I challenge you to try to figure out how to spell my last name without using the letter E. And it'll probably be the correc."
Nick Bostrom: Simulation and Superintelligence | Lex Fridman Podcast #83,"A conversation with Nick Bostrom, a philosopher at University of Oxford and the director of the Future of Humanity Institute. He has worked on fascinating and important ideas in existential risk, simulation hypothesis, human enhancement ethics, and the risks of superintelligent AI systems, including in his book, Superintelligence. I can see talking to Nick multiple times in this podcast, many hours each time, because he has done some incredible work in artificial intelligence, in technology space, science, and really philosophy in general. But we have to start somewhere. This conversation was recorded before the outbreak of the coronavirus pandemic that both Nick and I, I'm sure, will have a lot to say about next time we speak. And perhaps that is for the best, because the deepest lessons can be learned only in retrospect when the storm has passed."
